id,backlog
1,3.208552
2,3.208552
3,3.208552
4,3.208552
5,3.208552
6,3.208552
7,3.208552
8,3.208552
9,3.208552
10,3.208552
11,3.208552
12,3.208552
13,3.208552
14,3.208552
15,3.208552
16,3.208552
17,3.208552
18,2.367491
19,2.367491
20,2.367491
21,3.208552
22,3.208552
23,2.367491
24,2.367491
25,2.367491
26,2.367491
27,2.367491
28,2.367491
29,2.367491
30,2.367491
31,2.367491
32,2.367491
33,2.367491
34,2.367491
35,2.367491
36,2.367491
37,2.367491
38,2.367491
39,2.367491
40,2.367491
41,2.367491
42,2.367491
43,2.367491
44,2.367491
45,2.367491
46,2.367491
47,2.367491
48,2.367491
49,2.367491
50,2.367491
51,3.208552
52,3.208552
53,3.208552
54,3.208552
55,3.208552
56,3.208552
57,4.896486
58,3.208552
59,3.208552
60,3.208552
61,3.208552
62,3.208552
63,3.208552
64,3.208552
65,3.208552
66,3.208552
67,3.208552
68,3.208552
69,3.208552
70,3.208552
71,3.208552
72,3.208552
73,3.208552
74,3.208552
75,3.208552
76,3.208552
77,3.208552
78,3.208552
79,3.208552
80,3.208552
81,3.208552
82,3.208552
83,3.208552
84,3.208552
85,3.208552
86,3.208552
87,3.208552
88,3.208552
89,3.208552
90,3.208552
91,3.208552
92,3.208552
93,3.208552
94,3.208552
95,3.208552
96,3.208552
97,3.208552
98,3.208552
99,3.208552
100,3.208552
101,3.208552
102,3.208552
103,3.208552
104,3.208552
105,3.208552
